title,category,ausbildung,ams_id,slug,salary_min_eur,salary_max_eur,outlook_text,outlook_trend,employment_sectors,url
MedienlinguistIn,,,3143,3143-MedienlinguistIn,2700,2700,,neutral,,https://www.berufslexikon.at/berufe/3143-MedienlinguistIn/
Medienpaedagoge/Medienpaedagogin,,,3144,3144-Medienpaedagoge~Medienpaedagogin,3050,3050,,neutral,,https://www.berufslexikon.at/berufe/3144-Medienpaedagoge~Medienpaedagogin/
MedientechnikerIn,,,3642,3642-MedientechnikerIn,2320,2480,,neutral,,https://www.berufslexikon.at/berufe/3642-MedientechnikerIn/
Medizin DokumentarIn,,,2437,2437-Medizin-DokumentarIn,2930,2930,,neutral,,https://www.berufslexikon.at/berufe/2437-Medizin-DokumentarIn/
MedizininformatikerIn,,,2443,2443-MedizininformatikerIn,3100,3100,,neutral,,https://www.berufslexikon.at/berufe/2443-MedizininformatikerIn/
MedizininformatikerIn,,,3755,3755-MedizininformatikerIn,2340,2930,,neutral,,https://www.berufslexikon.at/berufe/3755-MedizininformatikerIn/
MedizinischeR MasseurIn,,,2793,2793-MedizinischeR-MasseurIn,2060,2060,,neutral,,https://www.berufslexikon.at/berufe/2793-MedizinischeR-MasseurIn/
MedizinischeR Mikrobiologe/Mikrobiologin,,,3355,3355-MedizinischeR-Mikrobiologe~Mikrobiologin,2700,2700,,neutral,,https://www.berufslexikon.at/berufe/3355-MedizinischeR-Mikrobiologe~Mikrobiologin/
MedizinischeR_VerwaltungsassistentIn,,,3783,3783-MedizinischeR_VerwaltungsassistentIn,2240,2240,,neutral,,https://www.berufslexikon.at/berufe/3783-MedizinischeR_VerwaltungsassistentIn/
MedizinischeRBiometrikerIn,,,2618,2618-MedizinischeRBiometrikerIn,3710,3710,,neutral,,https://www.berufslexikon.at/berufe/2618-MedizinischeRBiometrikerIn/
MedizinischeRDokumentationsassistentIn,,,3756,3756-MedizinischeRDokumentationsassistentIn,2550,2680,,neutral,,https://www.berufslexikon.at/berufe/3756-MedizinischeRDokumentationsassistentIn/
